Id,nb_changes,nb_matches,nb_node_types_A,nb_node_types_B,nb_nodes_A,nb_nodes_B,time
diff_0,8,990,12,12,1349,1349,0
diff_1,8,990,12,12,1349,1349,0
diff_2,8,990,12,12,1349,1349,0
diff_3,8,990,12,12,1349,1349,0
diff_4,8,990,12,12,1349,1349,0
diff_5,8,990,12,12,1349,1349,0
diff_6,8,990,12,12,1349,1349,0
diff_7,3384,426,12,11,1349,1987,0
diff_8,0,1405,11,11,1987,1987,0
diff_9,1,1405,11,11,1987,1987,0
diff_10,0,1405,11,11,1987,1987,0
diff_11,0,1405,11,11,1987,1987,0
diff_12,0,1405,11,11,1987,1987,0
diff_13,1,1405,11,11,1987,1987,0
diff_14,0,1405,11,11,1987,1987,0
diff_15,0,1405,11,11,1987,1987,0
