Id;Strategy;Number_Samples;Number_Training_Samples;Number_Test_Samples;Number_Tokens;Duplicates;Training_Set_Creation_Time;train_changed_attributes;train_added_nodes;train_removed_nodes;train_added_edges;train_removed_edges;test_changed_attributes;test_added_nodes;test_removed_nodes;test_added_edges;test_removed_edges
modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_QVT.ecore;dfs_edges;129;96;33;63089;0;0.20058107376098633;37;52;7;0;0;14;18;1;0;0
technology.stem!!models_foodproduction_org.eclipse.stem.foodproduction_model_foodproduction.ecore;dfs_edges;5;3;2;13590;0;0.016016006469726562;1;2;0;0;0;0;1;1;0;0
modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.map_models_gmfmap.ecore;dfs_edges;194;145;49;238948;0;0.3035860061645508;17;92;33;1;2;5;32;12;0;0
technology.cbi!!org.eclipse.b3.aggregator_model_Aggregator.ecore;dfs_edges;152;114;38;130279;0;0.20298385620117188;42;35;36;0;1;12;17;9;0;0
technology.stem!!core_org.eclipse.stem.core_model_scenario.ecore;dfs_edges;3;2;1;944;0;0.006054878234863281;1;1;0;0;0;1;0;0;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtcore_model_QVTcore.ecore;dfs_edges;51;38;13;77399;0;0.07832598686218262;6;17;15;0;0;3;6;4;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_ImperativeOCL.ecore;dfs_edges;26;19;7;17811;0;0.03337216377258301;2;14;3;0;0;4;1;2;0;0
modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_UML.ecore;dfs_edges;7096;5322;1774;6277420;0;67.97818207740784;507;2860;1948;5;2;159;962;649;2;2
modeling.emf.emf!!plugins_org.eclipse.emf.ecore_model_XMLType.ecore;dfs_edges;32;24;8;15882;0;0.040350914001464844;3;13;8;0;0;2;3;3;0;0
modeling.emf.emf!!plugins_org.eclipse.emf.ecore.change_model_Change.ecore;dfs_edges;7;5;2;3605;0;0.012192010879516602;1;4;0;0;0;0;2;0;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvttemplate_model_QVTtemplate.ecore;dfs_edges;26;19;7;777749;0;0.46373414993286133;3;10;6;0;0;1;6;0;0;0
modeling.emft.emf-client!!bundles_org.eclipse.emf.ecp.view.custom.model_model_custom.ecore;dfs_edges;7;5;2;6093;0;0.012739181518554688;0;5;0;0;0;0;2;0;0;0
modeling.mmt.qvt-oml!!plugins_org.eclipse.m2m.qvt.oml_model_QVTOperational.ecore;dfs_edges;137;102;35;172024;0;0.20640206336975098;4;54;43;0;1;2;27;6;0;0
modeling.emf.emf!!plugins_org.eclipse.emf.codegen.ecore_model_GenModel.ecore;dfs_edges;101;75;26;63663;0;0.12530303001403809;5;69;1;0;0;1;25;0;0;0
modeling.mmt.atl!!plugins_org.eclipse.m2m.atl.emftvm_model_emftvm.ecore;dfs_edges;43;32;11;56711;0;0.06510305404663086;11;16;5;0;0;3;7;1;0;0
technology.cbi!!org.eclipse.b3.build_model_B3Build.ecore;dfs_edges;144;108;36;167599;0;0.2102799415588379;13;70;22;0;3;2;22;10;1;1
modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.history_model_history.ecore;dfs_edges;10;7;3;9814;0;0.017804861068725586;1;2;4;0;0;0;2;1;0;0
birt!!chart_org.eclipse.birt.chart.engine_src_model_org.eclipse.birt.chart.model.type.ecore;dfs_edges;91;68;23;101481;0;0.13522100448608398;14;32;22;0;0;7;3;13;0;0
modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.tooldef_models_tooldef.ecore;dfs_edges;10;7;3;3274;0;0.013792037963867188;3;4;0;0;0;2;1;0;0;0
modeling.mdt.bpmn2!!org.eclipse.bpmn2_model_BPMN20.ecore;dfs_edges;149;111;38;69187;0;0.18124794960021973;86;15;9;0;1;29;7;1;0;1
eclipse.e4!!bundles_org.eclipse.e4.ui.model.workbench_model_UIElements.ecore;dfs_edges;713;534;179;553075;0;1.394968032836914;53;331;146;1;3;21;107;51;0;0
technology.stem!!core_org.eclipse.stem.core_model_graph.ecore;dfs_edges;89;66;23;59979;0;0.10537290573120117;4;5;2;24;31;2;0;1;11;9
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtrelation_model_QVTrelation.ecore;dfs_edges;36;27;9;42176;0;0.05255603790283203;4;18;5;0;0;2;5;2;0;0
modeling.eef!!plugins_org.eclipse.emf.eef.modelingbot_model_mbot.ecore;dfs_edges;50;37;13;25664;0;0.05797004699707031;10;19;8;0;0;5;4;4;0;0
tools.buckminster!!org.eclipse.buckminster.rmap_model_rmap.ecore;dfs_edges;39;29;10;48829;0;0.06936216354370117;2;17;9;1;0;2;6;2;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtbase_model_QVTbase.ecore;dfs_edges;56;42;14;53365;0;0.10440921783447266;6;18;18;0;0;4;6;4;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.xtext.qvtrelation_model_QVTrelationCS.ecore;dfs_edges;40;30;10;29165;0;0.04811525344848633;5;17;8;0;0;0;8;2;0;0
modeling.gmp.gmf-tooling!!plugins_org.eclipse.gmf.graphdef_models_gmfgraph.ecore;dfs_edges;92;69;23;77773;0;0.1197969913482666;25;36;6;1;1;10;6;6;0;1
modeling.sirius!!plugins_org.eclipse.sirius_model_viewpoint.ecore;dfs_edges;149;111;38;484933;0;0.6051361560821533;23;38;48;1;1;4;17;17;0;0
technology.cbi!!org.eclipse.b3.backend_model_B3Backend.ecore;dfs_edges;197;147;50;163072;0;0.26751089096069336;40;66;40;1;0;16;23;10;0;1
technology.cbi!!org.eclipse.b3.aggregator.legacy_models_aggregator_0.9.0.ecore;dfs_edges;3;2;1;5632;0;0.00986480712890625;0;1;1;0;0;0;0;1;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvt_model_ecore_FlatQVT.ecore;dfs_edges;89;66;23;51777;0;0.10838818550109863;8;49;9;0;0;3;17;3;0;0
modeling.pmf!!org.eclipse.pmf.pim_model_pmf.ecore;dfs_edges;3;2;1;3469;0;0.007768154144287109;0;2;0;0;0;0;1;0;0;0
modeling.mmt.qvtd!!plugins_org.eclipse.qvtd.pivot.qvtimperative_model_QVTimperative.ecore;dfs_edges;197;147;50;226116;0;0.299685001373291;20;81;46;0;0;6;29;15;0;0
technology.cbi!!org.eclipse.b3.aggregator.legacy_models_aggregator_1.1.0.ecore;dfs_edges;16;12;4;16240;0;0.024026870727539062;3;6;3;0;0;0;4;0;0;0
modeling.mdt.papyrus!!plugins_infra_core_org.eclipse.papyrus.infra.core.architecture_model_Architecture.ecore;dfs_edges;57;42;15;37470;0;0.09764313697814941;0;38;4;0;0;0;12;3;0;0
science.eavp!!org.eclipse.eavp.geometry.view.model_model_org.eclipse.eavp.geometry.view.model.ecore;dfs_edges;14;10;4;17134;0;0.02562427520751953;0;10;0;0;0;0;3;1;0;0
modeling.mdt.ocl!!plugins_org.eclipse.ocl.pivot_model_Lookup.ecore;dfs_edges;6;4;2;11925;0;0.01751399040222168;1;2;1;0;0;0;2;0;0;0
technology.stem!!core_org.eclipse.stem.core_model_model.ecore;dfs_edges;85;63;22;65005;0;0.11236405372619629;1;4;2;24;32;0;2;0;10;10
modeling.emft.edapt!!plugins_org.eclipse.emf.edapt.declaration_model_declaration.ecore;dfs_edges;7;5;2;12633;0;0.02049708366394043;1;2;2;0;0;0;2;0;0;0
modeling.mdt.uml2!!plugins_org.eclipse.uml2.uml_model_CMOF.ecore;dfs_edges;192;144;48;317364;0;0.43040895462036133;11;83;50;0;0;4;28;16;0;0
modeling.mmt.atl!!deprecated_org.atl.eclipse.engine_src_org_atl_eclipse_engine_resources_ATL-0.2.ecore;dfs_edges;83;62;21;50785;0;0.10357093811035156;44;12;6;0;0;19;1;0;1;0
